The printer needs paper.	Der Drucker braucht Papier.
This area is off-limits.	Dieser Bereich ist Tabu.
This area is off-limits.	Dieses Areal ist eine Tabuzone.
This battery is charged.	Diese Batterie ist aufgeladen.
This battery is charged.	Dieser Akku ist aufgeladen.
This bolt fits this nut.	Diese Schraube passt zu dieser Mutter.
This book belongs to me.	Das Buch gehört mir.
This book is really old.	Dieses Buch ist echt alt.
This book is very heavy.	Dieses Buch ist sehr schwer.
This book is very small.	Das Buch ist sehr klein.
This book is very thick.	Dieses Buch ist sehr dick.
This book isn't too bad.	Dieses Buch ist gar nicht so übel.
This box is made of tin.	Diese Kiste besteht aus Blech.
This boy is his brother.	Dieser Junge ist sein Bruder.
This car is my father's.	Dieses Auto gehört meinem Vater.
This chair is too small.	Dieser Stuhl ist zu klein.
This clasp won't fasten.	Diese Schnalle will einfach nicht zugehen.
This cloth feels smooth.	Dieser Stoff fühlt sich glatt an.
This cloth tears easily.	Dieser Stoff reißt leicht.
This cloth tears easily.	Dieser Stoff bekommt schnell Risse.
This collar's too tight.	Dieser Kragen ist zu eng.
This could be a mistake.	Das könnte ein Fehler sein.
This dictionary is mine.	Das Wörterbuch hier gehört mir.
This doesn't concern us.	Das betrifft uns nicht.
This doesn't feel right.	Das fühlt sich nicht richtig an.
This doesn't make sense.	Das hier ergibt keinen Sinn.
This doll belongs to me.	Diese Puppe gehört mir.
This door will not open.	Diese Tür lässt sich nicht öffnen.
This door will not open.	Die Tür will nicht aufgehen.
This door will not open.	Diese Tür will nicht aufgehen.
This flower smells nice.	Diese Blume riecht gut.
This food smells rotten.	Dieses Essen riecht verdorben.
This hat doesn't fit me.	Dieser Hut passt mir nicht.
This heat is unbearable.	Diese Hitze ist unerträglich.
This house is fireproof.	Dieses Haus ist feuerfest.
This house is very good.	Dieses Haus ist sehr gut.
This is a Japanese doll.	Das ist eine japanische Puppe.
This is a four-way stop.	Das ist eine Kreuzung, an der alle Fahrzeuge anhalten müssen.
This is a good question.	Das ist eine gute Frage.
This is a good textbook.	Dies ist ein gutes Lehrbuch.
This is a good textbook.	Das hier ist ein gutes Lehrbuch.
This is a gorgeous town.	Das ist eine großartige Stadt!
This is a great victory.	Das ist ein großer Sieg.
This is a real surprise.	Das ist eine echte Überraschung.
This is a serious issue.	Das ist ein ernstes Problem.
This is a terrible idea.	Das ist eine entsetzliche Idee.
This is a very good tea.	Dies ist ein sehr guter Tee.
This is a very new book.	Das ist ein ganz neues Buch.
This is a very old book.	Das ist ein sehr altes Buch.
This is a waste of time.	Das ist doch Zeitverschwendung.
This is absolutely true.	Das ist die volle Wahrheit.
This is against the law.	Das verstößt gegen das Gesetz.
This is all that I know.	Das ist alles, was ich weiß.
This is all unnecessary.	Das ist alles unnötig.
This is going to be fun.	Das wird ein Spaß!
This is his only chance.	Das ist seine einzige Chance.
This is how it happened.	So ist es passiert.
This is incredibly good.	Das ist unglaublich gut.
This is my account book.	Das ist mein Kassenbuch.
This is my brother, Tom.	Das ist mein Bruder Tom.
This is my other sister.	Das ist meine andere Schwester.
This is no longer funny.	Das ist nicht mehr lustig.
This is not a good idea.	Das ist keine gute Idee.
This is not a good sign.	Das ist kein gutes Zeichen.
This is not about money.	Es dreht sich nicht ums Geld.
This is not about money.	Das hat nichts mit Geld zu tun.
This is not good at all.	Das ist ganz und gar nicht gut.
This is our last chance.	Das ist unsere letzte Chance.
This is our only chance.	Das ist unsere einzige Chance.
This is perfectly legal.	Das ist vollkommen legal.
This is quite new to me.	Das ist für mich ganz neu.
This is really shocking.	Das ist wirklich schockierend.
This is simply not true.	Das ist einfach nicht wahr.
This is simply not true.	Das stimmt einfach nicht.
This is simply not true.	Das ist schlicht und einfach nicht wahr.
This is the final straw.	Das ist der Tropfen, der das Fass zum Überlaufen brachte.
This is the tricky part.	Das hier ist der heikle Teil.
This is very impressive.	Das ist sehr beeindruckend.
This is very surprising.	Das ist sehr überraschend.
This is what he painted.	Dies ist das, was er gemalt hat.
This is where Tom lives.	Hier wohnt Tom.
This is why I fired him.	Deshalb habe ich ihn gefeuert.
This is why I need help.	Deswegen brauche ich Hilfe.
This is your big chance.	Das ist deine große Chance.
This is your big chance.	Das ist eure große Chance.
This is your big chance.	Das ist Ihre große Chance.
This isn't so difficult.	Das ist nicht so schwierig.
This job pays very well.	Diese Arbeit wird gut bezahlt.
This job pays very well.	Diese Arbeit bringt viel ein.
This man is incompetent.	Dieser Mann ist unfähig.
This man is incompetent.	Dieser Mann ist inkompetent.
This might be over soon.	Das könnte bald vorbei sein.
This might interest you.	Das könnte dich vielleicht interessieren.
This might prove useful.	Das könnte sich als nützlich erweisen.
This one belongs to Tom.	Dieses gehört Tom.
This one's my room, Tom.	Dieses ist mein Zimmer, Tom.
This ought to be simple.	Das müsste einfach sein.
This paragraph is vague.	Dieser Abschnitt des Textes ist ungenau.
This paragraph is vague.	Dieser Textabschnitt ist vage formuliert.
This place is dangerous.	Hier ist es gefährlich.
This place is fantastic.	Es ist toll hier.
This probably means war.	Das bedeutet wahrscheinlich Krieg.
This problem baffles me.	Diese Aufgabe stellt mich vor ein Rätsel.
This program is a rerun.	Diese Sendung ist eine Wiederholung.
This reminds me of home.	Das erinnert mich an Zuhause.
This river is beautiful.	Der Fluss ist schön.
This room gets sunshine.	Dieses Zimmer ist sonnig.
This smells like cheese.	Das stinkt nach Käse.
This smells like cheese.	Das riecht nach Käse.
This smells like cheese.	Der hier riecht nach Käse.
This sounds interesting.	Das klingt interessant.
This steak is too tough.	Dieses Steak ist zu zäh.
This story is about Tom.	Diese Geschichte handelt von Tom.
This table isn't steady.	Dieser Tisch wackelt.
This time I will try it.	Dieses Mal werde ich es versuchen.
This time we have proof.	Dieses Mal haben wir Beweise.
This turkey tastes good.	Der Truthahn schmeckt gut!
This was all Tom's idea.	Das war alles Toms Idee.
This watch is expensive.	Diese Uhr ist teuer.
This watch is expensive.	Diese Armbanduhr ist teuer.
This would be a mistake.	Das wäre ein Fehler.
This would be a mistake.	Das wäre falsch.
Those are mine, I think.	Die gehören mir, glaube ich.
Those flowers have died.	Diese Blumen sind eingegangen.
Those things disgust me.	So etwas widert mich an.
Throw down your weapons.	Werft eure Waffen nieder!
Thunderstorms are scary.	Gewitter sind beängstigend.
Thunderstorms are scary.	Gewitter sind furchteinflößend.
Today isn't my birthday.	Heute ist nicht mein Geburtstag.
Today's show is a rerun.	Die heutige Folge ist eine Wiederholung.
Today, I saw a starling.	Heute habe ich einen Star gesehen.
Tom adopted Mary's idea.	Tom übernahm Marias Idee.
Tom aimed at the target.	Tom zielte.
Tom almost convinced me.	Tom hätte mich fast überzeugt.
Tom also has a daughter.	Tom hat auch eine Tochter.
Tom also plays clarinet.	Tom spielt auch Klarinette.
Tom and I are Canadians.	Tom und ich sind Kanadier.
Tom and I are newcomers.	Tom und ich sind neu.
Tom and I are very busy.	Tom und ich sind schwer beschäftigt.
Tom and I have to leave.	Tom und ich müssen los.
Tom and I work together.	Tom und ich arbeiten zusammen.
Tom and I work together.	Tom und ich kooperieren.
Tom and Mary have a son.	Tom und Maria haben einen Sohn.
Tom appears disoriented.	Tom scheint orientierungslos zu sein.
Tom appears unconscious.	Tom scheint bewusstlos zu sein.
Tom applied for the job.	Tom bewarb sich um die Stelle.
Tom arrived home safely.	Tom kam gut zu Hause an.
Tom asked Mary for help.	Tom bat Maria um Hilfe.
Tom asked Mary to leave.	Tom bat Maria zu gehen.
Tom asked for my number.	Tom bat mich um meine Telefonnummer.
Tom ate a frozen dinner.	Tom hat sich zum Abendessen ein Mikrowellengericht gemacht.
Tom ate an early supper.	Tom aß früh zu Abend.
Tom bandaged Mary's arm.	Tom verband Marys Arm.
Tom beat Mary in tennis.	Tom hat Mary beim Tennis geschlagen.
Tom became a Republican.	Tom wurde Republikaner.
Tom begged Mary to stay.	Tom flehte Maria an zu bleiben.
Tom believes he's right.	Tom glaubt, Recht zu haben.
Tom boiled me some eggs.	Tom kochte mir einige Eier.
Tom boiled the potatoes.	Tom kochte die Kartoffeln.
Tom boiled the potatoes.	Tom hat die Kartoffeln gekocht.
Tom bought Mary a puppy.	Tom kaufte Mary einen Welpen.
Tom bought Mary a puppy.	Tom kaufte Mary einen kleinen Hund.
Tom bought Mary flowers.	Tom kaufte Blumen für Mary.
Tom bought a dozen eggs.	Tom kaufte ein Dutzend Eier.
Tom broke both his legs.	Tom hat sich beide Beine gebrochen.
Tom broke his right arm.	Tom hat sich den rechten Arm gebrochen.
Tom broke into my house.	Tom ist in mein Haus eingebrochen.
Tom brought Mary a gift.	Tom hat Mary ein Geschenk mitgebracht.
Tom brought Mary a gift.	Tom brachte Mary ein Geschenk mit.
Tom built his own house.	Tom hat ein eigenes Haus gebaut.
Tom burst into laughter.	Tom brach in Gelächter aus.
Tom burst into the room.	Tom stürmte ins Zimmer.
Tom called Mary's bluff.	Tom zwang Mary, Farbe zu bekennen.
Tom called Mary's bluff.	Tom forderte Mary auf, Farbe zu bekennen.
Tom called a cab for me.	Tom rief mir ein Taxi.
Tom called in an expert.	Tom ließ einen Fachmann kommen.
Tom came at a good time.	Tom kam genau zur rechten Zeit.
Tom came here last week.	Tom kam letzte Woche hierher.
Tom came here last week.	Tom ist letzte Woche hier hergekommen.
Tom came home very late.	Tom kam sehr spät nach Hause.
Tom came out of nowhere.	Tom kam aus dem Nichts.
Tom came to me for help.	Tom bat mich um Hilfe.
Tom came up with a plan.	Tom hat einen Plan gefasst.
Tom can play the guitar.	Tom kann Gitarre spielen.
Tom can sing quite well.	Tom kann ziemlich gut singen.
Tom can't be that naive.	Tom kann doch nicht so naiv sein!
Tom can't do this to us.	Tom kann uns das nicht antun.
Tom can't have gone far.	Tom kann noch nicht weit sein.
Tom can't hear anything.	Tom kann nichts hören.
Tom can't make me do it.	Tom kann mich nicht dazu bringen, es zu tun.
Tom can't make me do it.	Tom kann mich nicht dazu bringen.
Tom can't read or write.	Tom kann weder lesen noch schreiben.
Tom can't survive alone.	Tomm kann nicht allein überleben.
Tom can't walk any more.	Tom kann nicht mehr gehen.
Tom can't work tomorrow.	Tom kann morgen nicht arbeiten.
Tom caught up with Mary.	Tom holte Mary ein.
Tom changed the subject.	Tom hat das Thema gewechselt.
Tom cheated on the exam.	Tom hat bei der Prüfung geschummelt.
Tom checked his mailbox.	Tom sah in seinem Briefkasten nach.
Tom checked his pockets.	Tom hat seine Taschen durchsucht.
Tom closed the curtains.	Tom zog die Vorhänge zu.
Tom cooks his own meals.	Tom kocht sich seine Mahlzeiten selbst.
Tom couldn't be happier.	Tom könnte nicht glücklicher sein.
Tom couldn't believe it.	Tom konnte es nicht glauben.
Tom couldn't find a job.	Tom konnte keine Arbeit finden.
Tom couldn't find a job.	Tom war nicht erfolgreich, eine Arbeit zu finden.
Tom couldn't protect me.	Tom konnte mich nicht beschützen.
Tom crashed into a tree.	Tom fuhr in einen Baum.
Tom cut off Mary's head.	Tom köpfte Mary.
Tom delivers newspapers.	Tom trägt Zeitungen aus.
Tom did it just for fun.	Tom hat das nur zum Spaß gemacht.
Tom did nothing illegal.	Tom hat nichts Unrechtes getan.
Tom did that on purpose.	Tom hat das absichtlich getan.
Tom did that on purpose.	Tom hat das mit Absicht gemacht.
Tom did that on purpose.	Tom hat das mit Absicht getan.
Tom did that on purpose.	Tom hat das absichtlich gemacht.
Tom did the right thing.	Tom hat das Richtige getan.
Tom did the unthinkable.	Tom hat das Undenkbare getan.
Tom didn't believe Mary.	Tom hat Maria nicht geglaubt.
Tom didn't believe Mary.	Tom glaubte Maria nicht.
Tom didn't even look up.	Tom schaute nicht einmal auf.
Tom didn't get very far.	Tom kam nicht besonders weit.
Tom didn't get very far.	Tom kam nicht sehr weit.
Tom didn't grow up here.	Tom ist hier nicht aufgewachsen.
Tom didn't like my idea.	Tom fand meine Idee nicht gut.
Tom didn't mention that.	Das hat Tom nicht erwähnt.
Tom didn't move an inch.	Tom bewegte sich keinen Zentimeter.
Tom didn't need my help.	Tom brauchte meine Hilfe nicht.
Tom didn't need my help.	Tom bedurfte meiner Hilfe nicht.
Tom didn't say anything.	Tom sagte nichts.
Tom didn't see anything.	Tom hat nichts gesehen.
Tom didn't seem to mind.	Es schien Tom nichts auszumachen.
Tom didn't stop talking.	Tom hörte nicht auf zu reden.
Tom didn't want my help.	Tom wollte meine Hilfe nicht.
Tom didn't want the job.	Tom wollte die Stelle nicht.
Tom didn't want to lose.	Tom wollte nicht verlieren.
Tom didn't want to talk.	Tom wollte nicht sprechen.
Tom didn't want to wait.	Tom wollte nicht warten.
Tom died Monday morning.	Tom starb am Montagmorgen.
Tom died a few days ago.	Tom ist vor ein paar Tagen gestorben.
Tom died in an accident.	Tom ist bei einem Unfall ums Leben gekommen.
Tom died of hypothermia.	Tom starb an Unterkühlung.
Tom died of lung cancer.	Tom ist an Lungenkrebs gestorben.
Tom died when he was 97.	Tom starb, als er 97 war.
Tom disagreed with Mary.	Tom stimmte Mary nicht zu.
Tom does not look happy.	Tom sieht nicht glücklich aus.
Tom does that sometimes.	Tom tut dies zuweilen.
Tom does what he's told.	Tom tut, was ihm gesagt wird.
Tom doesn't belong here.	Tom gehört nicht hierher.
Tom doesn't drink a lot.	Tom trinkt nicht viel.
Tom doesn't have a clue.	Tom hat keine Ahnung.
Tom doesn't have a wife.	Tom ist nicht verheiratet.
Tom doesn't have a wife.	Tom hat keine Frau.
Tom doesn't like cheese.	Tom mag keinen Käse.
Tom doesn't like coffee.	Tom trinkt nicht gern Kaffee.
Tom doesn't like coffee.	Tom mag keinen Kaffee.
Tom doesn't like grapes.	Tom mag keine Weintrauben.
Tom doesn't like my dog.	Tom mag meinen Hund nicht.
Tom dressed like a girl.	Tom kleidete sich wie ein Mädchen.
Tom dyed his hair black.	Tom hat sich das Haar schwarz gefärbt.
Tom dyed his hair black.	Tom färbte sich das Haar schwarz.
Tom dyed his hair black.	Tom hat sich die Haare schwarz gefärbt.
Tom dyed his hair brown.	Tom hat sich das Haar braun gefärbt.
Tom dyed his hair brown.	Tom färbte sich das Haar braun.
Tom dyed his hair green.	Tom färbte seine Haare grün.
Tom earns a good salary.	Tom bekommt ein gutes Gehalt.
Tom eats a lot of fruit.	Tom isst viel Obst.
Tom enjoys your company.	Tom hat Freude an deiner Gesellschaft.
Tom enjoys your company.	Tom hat Freude an Ihrer Gesellschaft.
Tom enjoys your company.	Tom hat Freude an eurer Gesellschaft.
Tom entered the kitchen.	Tom betrat die Küche.
Tom entered the kitchen.	Tom ging in die Küche.
Tom faked his own death.	Tom täuschte seinen eigenen Tod vor.
Tom fell into the river.	Tom fiel in den Fluss.
Tom fell into the river.	Tom ist in den Fluss gefallen.
Tom finally believes us.	Tom glaubt uns endlich.
Tom finished his coffee.	Tom trank seinen Kaffee aus.
Tom fired his secretary.	Tom hat seine Sekretärin entlassen.
Tom flew home to Boston.	Tom flog heim nach Boston.
Tom focused on his work.	Tom konzentrierte sich auf seine Arbeit.
Tom found me a good job.	Tom hat eine gute Arbeit für mich gefunden.
Tom gave Mary a sweater.	Tom gab Maria einen Pullover.
Tom gave his dog a bone.	Tom gab seinem Hund einen Knochen.
Tom gave me a black eye.	Tom hat mir ein blaues Auge verpasst.
Tom gave me a hard time.	Tom machte es mir schwer.
Tom gave me good advice.	Tom hat mir einen guten Rat erteilt.
Tom gave me some stamps.	Tom schenkte mir ein paar Briefmarken.
Tom gave us lots to eat.	Tom gab uns viel zu essen.
Tom goes to work by bus.	Tom fährt mit dem Bus zur Arbeit.
Tom goes to work by car.	Tom fährt mit dem Auto zur Arbeit.
Tom got Mary some water.	Tom holte Maria Wasser.
Tom got a D on his test.	Tom hat bei seiner Klassenarbeit eine Vier geschrieben.
Tom got a bargain price.	Tom hat einen Schnäppchenpreis bekommen.
Tom got dressed quickly.	Tom zog sich schnell an.
Tom got dressed quickly.	Tom hat sich schnell angezogen.
Tom got himself a drink.	Tom nahm sich ein Getränk.
Tom got his watch fixed.	Tom hat seine Uhr reparieren lassen.
Tom got into Mary's car.	Tom stieg in Maries Auto ein.
Tom got on the airplane.	Tom bestieg das Flugzeug.
Tom got out of the jeep.	Tom stieg aus dem Jeep.
Tom grabbed Mary's hand.	Tom ergriff Marias Hand.
Tom had a great weekend.	Tom hatte ein tolles Wochenende.
Tom had a splendid idea.	Tom hatte einen großartigen Einfall.
Tom had a strange dream.	Tom hatte einen seltsamen Traum.
Tom had lunch with Mary.	Tom aß mit Maria zu Mittag.
Tom had no options left.	Tom hatte keine Wahl mehr.
Tom had no options left.	Tom blieb keine Wahl.
Tom had nothing to hide.	Tom hatte nichts zu verbergen.
Tom had nothing to lose.	Tom hatte nichts zu verlieren.
Tom had nothing to read.	Tom hatte nichts zu lesen.
Tom had to catch a taxi.	Tom musste sich ein Taxi nehmen.
Tom had to sell his car.	Tom musste sein Auto verkaufen.
Tom handed Mary her bag.	Tom reichte Maria ihre Tasche.
Tom handed Mary the key.	Tom gab Mary den Schlüssel.
Tom hardly talks at all.	Tom sagt fast gar nichts.
Tom has a Canadian wife.	Tom hat eine kanadische Ehefrau.
Tom has a beautiful car.	Tom hat ein schönes Auto.
Tom has a black bicycle.	Tom hat ein schwarzes Fahrrad.
Tom has a mahogany desk.	Tom hat einen Mahagonischreibtisch.
Tom has a part-time job.	Tom hat eine Teilzeitstelle.
Tom has a secret weapon.	Tom hat eine Geheimwaffe.
Tom has a swimming pool.	Tom hat ein Schwimmbecken.
Tom has already done it.	Tom hat es bereits getan.
Tom has already started.	Tom hat schon angefangen.
Tom has always been shy.	Tom war schon immer schüchtern.
Tom has always been shy.	Tom ist schon immer schüchtern gewesen.
Tom has always been shy.	Tom war immer schon schüchtern.
Tom has been good to me.	Tom ist gut zu mir gewesen.
Tom has been pretending.	Tom hat nur so getan, als ob.
Tom has been texting me.	Tom hat mir eine SMS geschickt.
Tom has done it already.	Tom hat es bereits getan.
Tom has finally arrived.	Tom ist endlich da.
Tom has gone home early.	Tom ist früher nach Hause gegangen.
Tom has his own bedroom.	Tom hat ein eigenes Schlafzimmer.
Tom has low self-esteem.	Tom hat ein geringes Selbstwertgefühl.
Tom has never been sick.	Tom ist nie krank gewesen.
Tom has nothing to hide.	Tom hat nichts zu verbergen.
Tom has plenty of money.	Tom hat eine Menge Geld.
Tom has prostate cancer.	Tom hat Prostatakrebs.
Tom has three daughters.	Tom hat drei Töchter.
Tom has to get up early.	Tom muss früh aufstehen.
Tom has trouble hearing.	Tom hört nicht gut.
Tom has trouble reading.	Tom hat Schwierigkeiten mit dem Lesen.
Tom has two girlfriends.	Tom hat zwei Freundinnen.
Tom hasn't returned yet.	Tom ist noch nicht zurückgekehrt.
Tom hasn't returned yet.	Tom ist noch nicht wieder da.
Tom hasn't unpacked yet.	Tom hat noch nicht ausgepackt.
Tom hates green peppers.	Tom hasst grüne Paprika.
Tom heard the door open.	Tom hörte, wie sich die Türe öffnete.
Tom held on to the rope.	Tom hielt sich am Seil fest.
Tom hid behind the door.	Tom versteckte sich hinter der Tür.
Tom hid under the table.	Tom versteckte sich unter dem Tisch.
Tom hid under the table.	Tom hat sich unter dem Tisch versteckt.
Tom hit a dog yesterday.	Tom hat gestern einen Hund geschlagen.
Tom hugged Mary tightly.	Tom hat Mary fest umarmt.
Tom is Mary's boyfriend.	Tom ist Marys Freund.
Tom is Mary's chauffeur.	Tom ist Marias Chauffeur.
Tom is Mary's chauffeur.	Tom ist Marias Fahrer.
Tom is a French teacher.	Tom ist Französischlehrer.
Tom is a bright student.	Tom ist ein gescheiter Student.
Tom is a careful worker.	Tom ist ein vorsichtiger Arbeiter.
Tom is a complete loser.	Tom ist ein totaler Verlierer.
