INPUT,REF,OUTPUT,LABEL,BLEU
tom beschloss marias bemerkungen zu ignorieren,tom chose to ignore marys remarks,tom tried to to,0,0.4666666666666667
er kommt oft zu spat in die schule,he is often late for school,he afraid to at at,0,0.5
du bist jetzt einer von uns,youre one of us now,youre are for for,1,0.4117647058823529
tom macht den lehrer nach,tom is imitating the teacher,tom is in the bus,0,0.5294117647058824
das ist der beste film des jahres,its the best film of the year,thats is my the dog,0,0.5263157894736842
ich war die ganze nacht auf,i stayed up all night,i was all all night,1,0.47368421052631576
er verlor all seine besitztumer,he lost all his belongings,he lost his his,0,0.5333333333333333
konnten sie mal hingehen und nachsehen ob mit tom alles in ordnung ist,could you go and see if tom is ok,dont you tom tom tom,0,0.4
lies so viel wie moglich,read as much as possible,have as as as,1,0.38461538461538464
ein krieg muss um jeden preis verhindert werden,war must be avoided at all costs,a one has be long,0,0.4117647058823529
es ist echt hei hier drin,its really hot in here,its is very hot here,1,0.45
ich kann deinen unmut verstehen,i understand your frustration,i can speak french,0,0.4444444444444444
das ist fur dich,its for you,this is for you,1,0.6
du siehst gut aus,you look handsome,you look well,1,0.5384615384615384
tom hatte eine nachricht hinterlassen,tom wouldve left a note,tom had a a,1,0.5454545454545454
sie sind letztens erst eingezogen,they moved in just the other day,you never look a,0,0.5625
die verhandlungen haben angefangen,the negotiations have begun,they been,0,0.6666666666666666
unsere schulden sind mehr als wir zahlen konnen,our debt is more than we can pay,we we of help help,0,0.3333333333333333
ich werde tom sich nicht einmischen lassen,i wont let tom interfere,i wont let tom tom,0,0.5
alles schien in ordnung zu sein,everything seemed to be ok,they seems be,0,0.6153846153846154
es tut mit leid dass ich so dumm bin,im sorry im so stupid,i sorry i be be,1,0.4
ich habe einen besonderen grund,i have a special reason,i have a a,1,0.6
die dateien fehlen,the files are missing,the food are,1,0.5833333333333334
ich bin stolz kanadier zu sein,im proud to be canadian,im afraid afraid to,1,0.42105263157894735
sie hat eine brosche an,she is wearing a brooch,she has a a,1,0.45454545454545453
fast alle sind rechtzeitig angekommen,almost everyone arrived on time,all all all all,0,0.2
es hat jemand nach dir gefragt,someone asked for you,she asked to you you,1,0.45
traumst du auf franzosisch,do you dream in french,do you speak french french,1,0.46153846153846156
es tut tom leid,toms sorry,thats matters to,1,0.375
wir sind uns sehr ahnlich,we are very similar,were very of,1,0.5
tom brachte maria ein glas wasser,tom brought mary a glass of water,tom took a a horse,0,0.5
wir schoben das auto von hinten,we got behind the car and pushed,we named to the the,0,0.47368421052631576
ich kann dich nicht allein da hineingehen lassen,i cant let you go in there alone,i cant stay you home,0,0.55
bitte mach das noch einmal,please do that again,please make again again,1,0.391304347826087
tom hat eine geheimwaffe,tom has a secret weapon,tom has a,1,0.7777777777777778
ich unterdruckte ein gahnen,i suppressed a yawn,i an an truck,1,0.46153846153846156
du bist nicht schnell genug,youre not fast enough,you arent very fast,1,0.5789473684210527
rate mal was ich gefunden habe,youll never guess what i found,thats what i i,0,0.5
wer ist sie,who is she,who is you,1,0.6
ich werde dir einen rat geben,ill give you a piece of advice,ill let you a a,0,0.5333333333333333
tom will dir etwas zeigen,tom wants to show you something,tom wants you to you,0,0.5
das projekt war ein totaler fehlschlag,the project was a complete failure,that was was was,0,0.375
ich lebe nicht mehr mit ihm zusammen,im not living with him anymore,i dont to to him,0,0.4375
da ist nichts dran,theres nothing to it,theres is no,1,0.75
lese es nach mir,read after me,thats to to,1,0.2727272727272727
er macht einen kopfstand,hes standing on his head,he is in his,1,0.5
wie gefallt dir deine neue schule,how do you like your new school,how do you your your,0,0.4
der mann wurde von einem hund gebissen,the man was bitten by a dog,the dog was a a a,0,0.5882352941176471
mogt ihr moskau,do you like moscow,do you like,1,0.8181818181818182
du wirst nicht wahlen,you dont get to choose,youll not not,1,0.46153846153846156
du wirst doch punktlich sein nicht wahr,youll be on time wont you,you worry do it,0,0.4666666666666667
sie hat einen arm in gips,she has her arm in a cast,she has a of of,0,0.3333333333333333
ich wei nicht ob ich dafur bereit bin,i dont know if im ready for this,i dont know i not not,0,0.38095238095238093
ich stimme euch allen vollig zu,i fully agree with all of you,i agree agree you you,0,0.42857142857142855
ich hasse es nicht zu gewinnen,i hate not winning,i hate hate you,1,0.4666666666666667
es ist schwieriger als ihr glaubt,its more difficult than you think,its is than,0,0.6363636363636364
das brot ist altbacken,the bread is stale,the bread is,1,0.8333333333333334
tom legte seinen stift nieder,tom put down his pen,tom put off his,1,0.6
tom a,tom ate,tom was,1,0.7142857142857143
ich bin mir ziemlich sicher dass tom maria angelogen hat,im pretty sure tom lied to mary,i never tom tom tom,0,0.3684210526315789
sie fuhren mit der untergrundbahn,they took the subway,they missed the the,1,0.3157894736842105
du bist merkwurdig,youre so weird,youre are,1,0.6666666666666666
ich hatte es vorige woche gekauft,i had bought it the week before,i had the the week,0,0.5
ich wunschte ich ware groer,i wish i were taller,i wish i were were,1,0.3888888888888889
der arzt nahm seinen puls,the doctor took his pulse,toms dog was broken,0,0.42105263157894735
ist dieses teeservice vollstandig,is this tea set complete,is this on of,1,0.46153846153846156
was genau ist ihre sorge,what exactly is your concern,what is your,0,0.9166666666666666
ich lief ungefahr eine meile,i walked about mile,i ran a,1,0.42857142857142855
ich habe ein bisschen franzosisch aufgeschnappt,i picked up some french,i have a little,1,0.26666666666666666
ein schwamm nimmt flussigkeiten auf,a sponge absorbs liquids,a a absorbs,1,0.5454545454545454
wie lautet dein ratschlag,whats your advice,whats your your,1,0.6666666666666666
sie trug hohe stiefel,she was wearing long boots,she a a lot,0,0.7272727272727273
tom goss heies wasser in die tasse,tom poured hot water into the cup,tom cant my my dog,0,0.4444444444444444
es gibt keinen grund sich zu entschuldigen,there is nothing to apologize for,theres no to,0,0.6666666666666666
das war nicht das was ich horen wollte,that wasnt what i wanted to hear,that didnt like i said,0,0.4090909090909091
was ist gestalttherapie,what is gestalt therapy,what is beautiful,1,0.5294117647058824
ich habe englisch gelernt als ich dort war,i studied english when i was there,i had to were to,0,0.5625
ich bin sechs fu gro,i am six feet tall,im am my my,1,0.36363636363636365
ein paar freunde haben mich zum abendessen eingeladen,some friends invited me to dinner,a few made four me,0,0.3888888888888889
dieses kleid hat mich mehr als yen gekostet,this dress cost me over yen,this dog is me me,0,0.5294117647058824
ich wunschte dass das der fall ware,i wish that were the case,i wish that be every day,0,0.375
tom tat so als dachte er angestrengt nach,tom pretended to be thinking hard,tom said he was was,0,0.47368421052631576
ich sehe gerade die nachrichten,im watching the news,i am a good,1,0.45454545454545453
das radfahren hat ihm spa gemacht,he enjoyed cycling,that made did told,1,0.3888888888888889
wenn ihr mir nicht glaubt fragt tom,if you dont believe me ask tom,dont you know me me,0,0.5263157894736842
das madchen ahnelte seiner mutter,the girl resembled her mother,the dog is his,0,0.6428571428571429
vertraut tom,trust tom,hi tom,1,0.6666666666666666
dieses buch enthalt zahlreiche bilder,this book has many pictures,this book is a new,0,0.6111111111111112
ich habe kein gutes gefuhl dabei,i dont feel good about it,i dont not at all,0,0.47058823529411764
beruhre nicht diesen blauen knopf,dont touch that blue button,dont touch the,0,0.6428571428571429
plotzlich begann es zu regnen,suddenly it began to rain,he came to to,0,0.38461538461538464
ich bleibe hier bis du wiederkommst,ill stay here until you return,ill will you you you,0,0.3
es klart sich bald auf,it will clear up soon,it will be soon,1,0.6
ich dachte maria liebe mich,i thought mary loved me,i thought i like me,1,0.5263157894736842
es stimmt wohl,it must be true,i wrong,1,0.42857142857142855
was willst du trinken,what do you want to drink,what do you like,0,0.6875
ich richtete mein gewehr auf das ziel,i aimed my gun at the target,i ran my my the,0,0.6666666666666666
er scheint nicht zuzustimmen,he seems not to agree,he seems not to you,1,0.42105263157894735
was ist hier los,whats going on,whats is here,1,0.5384615384615384
sie sind genau derjenige den wir brauchen,youre just the person we need,you are as as as,0,0.4375
ich bin journalist,im a journalist,im a,1,1.0
bitte schreibe mit einem bleistift,please write with a pencil,please take a a please,0,0.3181818181818182
achtung bitte,attention please,please please,1,0.46153846153846156
was mich stort ist seine einstellung,what bothers me is his attitude,what happened my,0,0.5
das geht sie uberhaupt nichts an,this does not concern you at all,it all all all,0,0.3571428571428572
er explodiert gleich,its about to explode,its going to,1,0.4166666666666667
tom traumt vom weltfrieden,tom dreams of world peace,tom is his,0,0.5
lass uns von jetzt an in verbindung bleiben,from now on lets keep in touch,lets be back,0,0.5833333333333334
ich muss eine entscheidung treffen,i have a decision to make,i have to a,1,0.7272727272727273
tom sagt er konne alles reparieren,tom says he can fix anything,tom said he he was,0,0.5
er sucht arbeit,hes looking for a job,he is for a,1,0.8181818181818182
das wird nichts andern,that doesnt change anything,that wont be,0,0.5833333333333334
mit wem streiten sie sich,who are you quarreling with,who come you with,0,0.5294117647058824
ich bin zu beschaftigt um zu gehen,im too busy to go,im am to to to,1,0.3571428571428572
ist ihnen nicht hei,arent you hot,arent you not,1,0.6923076923076923
kunst ist eine ernste angelegenheit,art is a serious thing,its is a hard,1,0.5384615384615384
hier fuhle ich mich sicher,i feel safe here,i feel feel here,1,0.4375
bist du bereit,are you ready,are you ready,1,0.6153846153846154
ich schreibe in meiner freizeit gedichte,i write poems in my free time,i am to my my,0,0.46153846153846156
dort ist ein apfel auf dem tisch,there is an apple on the desk,its is a the room,0,0.5294117647058824
haben sie mein buch erwahnt,did you mention my book,did you know my book,1,0.5
was geschehen wird wird geschehen,what will happen will happen,what happened happened,0,0.36363636363636365
ich mochte wissen was du denkst,id like to know what you think,i want want to you you,0,0.4090909090909091
ich mochte abnehmen,i want to lose weight,i want to eat,1,0.6153846153846154
mein hund muss mal gassi gehen,my dog needs a walk,my cat is a a,1,0.38461538461538464
diese rechnung geht nicht auf,these figures dont add up,this isnt here,0,0.5714285714285714
die schule beginnt morgens um,school begins at am,the begins to please,0,0.6
tom hat seine sekretarin entlassen,tom fired his secretary,tom caught his voice,1,0.5
entschuldige dass ich an dir gezweifelt habe,im sorry i doubted you,im sorry i you you,1,0.4444444444444444
du sagst es besser niemandem,youd better not tell anyone,you never not to,0,0.5
tom hatte sonst nichts hinzuzufugen,tom had nothing more to add,tom didnt nothing anything,0,0.38461538461538464
sie konnen uber dieses zimmer frei verfugen,you are free to use this room,you can use your room,0,0.42857142857142855
hast du irgendetwas zu berichten,do you have anything to report,did you ever to yet,0,0.5263157894736842
wer ist euer lieblingsblogger,whos your favorite blogger,whos is,0,0.8571428571428571
bitte tus nicht,please dont do it,please dont do it,1,0.6470588235294118
schliee sie ab,lock it,keep it,1,0.5714285714285714
tom ist sich stets selbst am wichtigsten,tom always puts himself first,tom is mad happy,0,0.625
sei nicht traurig,dont be sad,dont be worried,1,0.4666666666666667
ich habe einen barenhunger,im as hungry as a bear,i am a of a,1,0.36363636363636365
das essen war sehr gut,the food was very good,that news was very,1,0.5555555555555556
tom ist erst um halb drei gekommen,tom didnt come until,tom has never at at,0,0.3157894736842105
tom hat es trotzdem getan,tom did it anyway,tom did it that,1,0.4666666666666667
alles was du tun kannst ist warten,all you can do is wait,we you you you do,1,0.35294117647058826
der mann trug lumpen,the man was in rags,the man was in,1,0.7142857142857143
das muss mein buch sein,that must be my book,it must to a book,1,0.5294117647058824
schauen sie mich nicht an,dont look at me,dont me me me,1,0.5384615384615384
sake machen wir aus reis,we make sake from rice,lets we in in bed,1,0.29411764705882354
ist das nicht selbstverstandlich,isnt that obvious,isnt that that,1,0.5
da ist was unterm bett,theres something under the bed,theres is to,0,0.6666666666666666
war das deine frage,was that your question,was that your,1,0.7692307692307693
auf welche weise kam tom ums leben,how was tom killed,how was was name,1,0.5
es stand nicht eine wolke am himmel,there wasnt a cloud in the sky,it was out on the,0,0.6470588235294118
ich bin kein spieler,im not a gambler,im not a,1,0.875
tom mochte mary nicht wiedersehen,tom doesnt want to see mary again,tom didnt want mary tom,0,0.4782608695652174
tom kann nicht damit aufhoren,tom cant stop it,tom cant stop me,1,0.5625
ich vermisse es schon,i miss it already,i miss it,1,0.5555555555555556
ich bin mir sicher dass sie bald auftauchen wird,im sure she will turn up soon,im sure sure at,0,0.5333333333333333
wahre freundschaft ist unbezahlbar,true friendship is priceless,tom is is expensive,0,0.3684210526315789
mary hat ihre probleme,mary has her problems,mary has your brothers,1,0.45454545454545453
ich furchte das gerucht ist wahr,im afraid the rumor is true,im all all all,0,0.2857142857142857
ich hoffe du amusierst dich gut,i hope you have fun,i hope you youre you,1,0.4
ich vermisse die universitat,i miss college,i love beer,1,0.45454545454545453
ich muss nun weggehen,i have to leave now,i have to go,1,0.6666666666666666
wir wachten nach mitternacht auf,we woke up after midnight,we started up,0,0.6923076923076923
ich muss blo hinter den grund kommen,i just need to find out why,i have to to tom,0,0.375
ich habe das protokoll der sitzung,i have the minutes of the meeting,i found the book,0,0.5625
lasst uns dieses meeting hinter uns bringen,lets get this meeting over with,lets make this for,0,0.5555555555555556
er scheint freundlich zu sein,he seems to be friendly,he seems to to,1,0.5
vielleicht schneit es,maybe it will snow,maybe may it,1,0.6666666666666666
komm doch herein,why dont you come in,come get in,1,0.7272727272727273
das ist kein groes problem,thats not a big problem,this not a problem problem,1,0.5384615384615384
ich habe das von dir gelernt,i learned it from you,i met her for you,1,0.5882352941176471
das buch hat tom geschrieben,tom wrote that book,that book tom job,1,0.47058823529411764
es ist die ubliche vorgehensweise,its standard procedure,its the the,1,0.45454545454545453
sie kennen uns nicht,they dont know us,you dont know us,1,0.625
ich bin im hiltonhotel,im at the hilton hotel,im am the,1,0.7777777777777778
ich habe kein alkoholproblem,i dont have a drinking problem,i dont have,0,0.9090909090909091
es gibt einen haken,there is one catch,theres is,1,0.7777777777777778
weit du was tom jetzt macht,do you know what tom is doing now,do you know where is is,0,0.4782608695652174
nun ich wunschte ich hatte dieses problem,gee i wish i had that problem,i i i my dog,0,0.5
das wasser uberflutete die straen,the water flooded the streets,the water water,0,0.4666666666666667
sie legten ein versprechen ab,you made a promise,they made a mistake,1,0.42105263157894735
es ist ein trostloser ort,its a dreary place,its a a,1,0.7142857142857143
sie waren beide eine groe hilfe,youve both been very helpful,you were of of her,0,0.4444444444444444
er starb an dieser krankheit,he died of that disease,he was at his,1,0.5384615384615384
das ist huhn,thats chicken,thats is,1,0.75
ich wollte tom nicht zum weinen bringen,i didnt mean to make tom cry,i didnt want to to tom,0,0.36363636363636365
wir mussen fruh aufbrechen,weve got to leave early,we must to to,1,0.38461538461538464
es war nicht toms absicht maria weh zu tun,tom didnt intend to hurt mary,that wasnt not to,0,0.35294117647058826
ich mochte gerne mit dir reden,id like to talk to you,i like to to to you,1,0.47368421052631576
ich mag dunkelrot lieber,i like dark red better,i like like,1,0.45454545454545453
ich habe zu viel gegessen,i ate too much,i got to to,1,0.36363636363636365
sie trauen einander nicht,they dont trust each other,you dont us us,0,0.5714285714285714
tom ist ein psychopath,tom is a psychopath,tom is a prisoner,1,0.47058823529411764
es tut mir schrecklich leid,im terribly sorry,i feel sorry,1,0.6666666666666666
diese tabletten werden den schmerz lindern,these pills will ease the pain,the cloth is the,0,0.4375
sagt mir was ich machen soll,tell me what to do,let me what i i,1,0.5333333333333333
tom hat deinen namen erwahnt,tom mentioned your name,tom made his name,1,0.5294117647058824
ihr missbraucht eure autoritat,you are abusing your authority,you your your,0,0.38461538461538464
tom mag nusse,tom likes nuts,tom likes fishing,1,0.5882352941176471
sind sie guter laune,are you in a good mood,are you a a good mood,1,0.47619047619047616
reich ihm die hand,shake hands with him,his on on,1,0.5555555555555556
diesen monat habe ich ein bisschen geld,i have a little money this month,i os my of new,0,0.5714285714285714
er sagte tokio sei eine sichere stadt,he said that tokyo is a safe city,he asked me a a a,0,0.4117647058823529
du hast einen guten plan,you have a good plan,you have a good,1,0.6666666666666666
tom braucht arbeit,tom needs a job,tom needs to,1,0.6666666666666666
er ging bestandig auf und ab,he kept walking back and forth,he came to at,0,0.5384615384615384
nenne mir alle einzelheiten,tell me all the details,tell me my the,1,0.42857142857142855
du solltest die funf nehmen,you should take the number bus,you should get the,0,0.5555555555555556
wie steht es um deine erkaltung,how is your cold,how your the cold,1,0.5882352941176471
das ist mein leben,its my life,thats my my,1,0.45454545454545453
tom verschwand in der menge,tom disappeared in the crowd,tom looks his his,0,0.4117647058823529
sie hort sich uberhaupt keine musik an,she doesnt listen to music at all,she looks be of,0,0.4
wie was hast du gesagt,what what did you say,how did you say,1,0.6666666666666666
das ist meine kuche,this is my kitchen,this my my,1,0.7
sie durfen es nicht anfassen,you mustnt touch it,you cant let it,1,0.5333333333333333
umarmen sie tom,hug tom,call tom,1,0.5
ich bin rechts,i am on the right,im am right,1,0.7272727272727273
tom hat mary vollig durchschaut,tom saw right through mary,tom has mary himself,0,0.5
tom hat mir seinen nachnamen nie mitgeteilt,tom never told me his last name,tom told me his,0,0.6666666666666666
ich mag australisches essen,i am fond of australian food,i like english,0,0.3571428571428572
wie geht es euch so,hows the world treating you,how are you doing it,0,0.7
danke fur das weihnachtsgeschenk,thank you for the christmas gift,thanks for for,0,0.7142857142857143
ich werde morgen nicht zur schule gehen,i will not go to school tomorrow,i cant go to home,0,0.5294117647058824
wie viel ist das wert,whats it worth,how much is it,1,0.5
sie haben ein versprechen abgelegt,they made a promise,you made a promise,1,0.6111111111111112
sein vater ist japaner,his father is japanese,his father is beautiful,1,0.391304347826087
ich mochte ein stuck schokoladenkuchen,i want a piece of chocolate cake,i want to piece my,0,0.5555555555555556
hier fehlt eine serviette,there is a napkin missing,thats is,0,0.75
ich danke dir fur das schone geschenk,thank you for this nice present,you call you for your,0,0.38095238095238093
lasse mich das anschauen,let me take a look,let me me a,1,0.5454545454545454
was hoffen sie hier zu finden,what do you hope to find here,what do you think,0,0.6470588235294118
tom hat groere hande als ich,tom has bigger hands than me,tom lost of of,0,0.3571428571428572
wisst ihr noch wann tom das gesagt hat,do you remember when tom said that,do you know tom tom tom,0,0.391304347826087
das hatte ich getan,thats what i wouldve done,i knew that that,0,0.5
ich habe heute morgen meinen wagen waschen lassen,i had my car washed this morning,i saw my my my,0,0.5
nicht jeder kann ein dichter sein,not everyone can be a poet,dont forget be a a,0,0.4444444444444444
holt tom sie ab,is tom coming to pick you up,put tom for you,0,0.4666666666666667
komm schon steh auf,come on get up,come back up,1,0.5833333333333334
sie wartete geduldig auf ihn,she patiently waited for him,she was him him him,0,0.42105263157894735
du musst aufhoren zu trinken,you have to stop drinking,you must to to,0,0.42857142857142855
machen wir das ein anderes mal,lets do it another time,lets do this a,1,0.7142857142857143
das kompliziert die angelegenheit,thats complicating the matter,this the answer,0,0.6
ich glaube wir brauchen eine auszeit,i think we need some time off,i think i a a,0,0.46153846153846156
das habe ich verstanden,i understood that,i knew that,1,0.6363636363636364
ich dachte ihr wurdet allein sein,i thought youd be alone,i knew you were you,1,0.3684210526315789
ich bedankte mich,i said thanks,i know me,1,0.4444444444444444
ich denke du machst besser eine diat,i think youd better go on a diet,i think you you a,0,0.5882352941176471
es ist besser diesen punkt zu ubergehen,it is better to ignore this point,its seems to,0,0.5
du hast eine alternative,you have an alternative,you have a,1,0.8
tom studiert franzosisch,tom is majoring in french,tom is french,0,0.9230769230769231
er hinterlie seinem sohn ein groes vermogen,he left his son a fortune,he eats his a his son,1,0.42857142857142855
versuch es noch einmal,give it another shot,try it again,1,0.5833333333333334
wie war euer sommer,how was your summer,how was your,1,0.75
du darfst mein auto jederzeit nutzen,you may use my car at any time,you can to to my car,0,0.5
das ist gut furs geschaft,its good for business,thats is our business,1,0.47619047619047616
hat tom sie kontaktiert,did tom contact you,did tom contact you,1,0.5789473684210527
es war nicht unseres,it wasnt ours,it wasnt no,1,0.7272727272727273
bitte warten sie bis sie an der reihe sind,please wait until your turn,please turn on on please,0,0.4583333333333333
ist das dein auto,is this your car,is this car car,1,0.5333333333333333
ich ging gegen zehn uhr schlafen,i went to sleep about oclock,i usually to to tv,0,0.4444444444444444
tom und maria sind zusammen aufgewachsen,tom and mary grew up together,tom and mary mary mary,0,0.4090909090909091
ihre eltern hassen mich,her parents hate me,i parents like me,1,0.5294117647058824
ich will in einem krankenhaus arbeiten,i want to work at a hospital,i want to a a a,0,0.4666666666666667
deine freundin hat groes gluck,your friend is very lucky,your sister is beautiful,0,0.4166666666666667
ich wei nicht was ich tom sagen soll,i dont know what to say to tom,i dont know what want want,0,0.38461538461538464
sie ist fuhrend auf ihrem gebiet,she is a leader in her field,she is your her,0,0.4
tom hat zahnschmerzen,tom has a toothache,tom has a,1,0.7777777777777778
willst du denn nichts essen,arent you going to eat anything,do you want to,0,0.5
tom ist jemand dem man vertrauen kann,tom is a man who can be trusted,tom is to to you,0,0.4375
alles war verloren,everything was lost,it was,1,1.0
legt eure bucher weg,put your books away,put your your,1,0.5384615384615384
ich bin immer stolz auf meine familie,i am always proud of my family,im am proud my my,0,0.5882352941176471
man lebt nur einmal,you only live once,you have have,1,0.46153846153846156
der mann lief fort,the man ran away,the house ran away,1,0.5
tom hat vertrauen in mary,tom has confidence in mary,tom has mary mary,0,0.5294117647058824
kinder gehen zum lernen in die schule,kids go to school to study,we men to to,0,0.25
tom kennt es,tom knows it,tom knows it,1,0.75
normalerweise schlafen wir in diesem zimmer,we usually sleep in this room,we we we in the room,0,0.5
sie bat um seine hilfe,she asked him for help,she asked to to help,1,0.5
tom zuckte nicht zusammen,tom didnt flinch,tom didnt flinch,1,0.6875
ich wollte nicht dass das passiert,i didnt want this to happen,i didnt want to that,0,0.45
danke fur die information,thanks for the info,thanks for the the,1,0.6111111111111112
hast du die wette nicht gewonnen,didnt you win the bet,did you seen the name,1,0.47619047619047616
tom hat einen seltsamen sinn fur humor,tom has an odd sense of humor,tom has a a a of,0,0.5
er ist bei den alteren burgern sehr beliebt,its popular among senior citizens,he is very of ago,0,0.47058823529411764
sie wurde blind,she went blind,she was blind,1,0.7692307692307693
weit du wohin tom uns bringt,do you know where tom is taking us,do you know where who is,0,0.5416666666666666
ich kann dich das beten lehren,i can teach you how to pray,i can you you,0,0.6153846153846154
was kannst du uns erzahlen,what can you tell us,when did you meet me,1,0.45
kommen sie und unterstutzen sie mich,come and help me out,come and and you,1,0.5625
er kocht vor wut,he is boiling with rage,he is from and,1,0.6428571428571429
